Anon Item ID,Operation,Field,Previous value,New value,Anon Actor,Date logged,timestamp_utc,case_id
ITEM-000276,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000276
ITEM-000050,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000050
ITEM-000290,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000290
ITEM-000661,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000661
ITEM-000551,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000551
ITEM-000639,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000639
ITEM-000017,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000017
ITEM-000473,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000473
ITEM-000316,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000316
ITEM-000631,Update,ownerid,"systemuser,09f34b91-4d86-4fc8-8b41-8af3d91e94bf","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,2/12/25 10:30,2025-02-12T10:30:00Z,ITEM-000631
