Anon Item ID,Operation,Field,Previous value,New value,Anon Actor,Date logged,timestamp_utc,case_id,bucket,level,translated_value,sequence,activity_name
ITEM-000002,Update,owningbusinessunit,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91","businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",ACTOR-0002,22/08/2025 13:23,2025-08-22T13:23:00Z,ITEM-000002,L3_ADMIN,L3,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",,owningbusinessunit changed
ITEM-000002,Update,ownerid,"systemuser,7b9d5323-2ef3-4d52-9d6c-dd45deb05e3b","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0002,22/08/2025 13:23,2025-08-22T13:23:00Z,ITEM-000002,L3_ADMIN,L3,"systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",,Owner changed
ITEM-000004,Update,owningbusinessunit,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91","businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",ACTOR-0002,7/10/25 10:45,2025-07-10T10:45:00Z,ITEM-000004,L3_ADMIN,L3,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",,owningbusinessunit changed
ITEM-000004,Update,ownerid,"systemuser,7b9d5323-2ef3-4d52-9d6c-dd45deb05e3b","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0002,7/10/25 10:45,2025-07-10T10:45:00Z,ITEM-000004,L3_ADMIN,L3,"systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",,Owner changed
ITEM-000005,Update,owningbusinessunit,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91","businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",ACTOR-0003,26/08/2025 07:43,2025-08-26T07:43:00Z,ITEM-000005,L3_ADMIN,L3,"businessunit,0a4ccfd6-e6d9-e611-80f2-5065f38aba91",,owningbusinessunit changed
ITEM-000005,Update,ownerid,"systemuser,b5f00e27-78b3-4a71-90af-5dcef3c25bba","systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",ACTOR-0003,26/08/2025 07:43,2025-08-26T07:43:00Z,ITEM-000005,L3_ADMIN,L3,"systemuser,efd3822d-8c8b-4619-8eb9-39ddf9c5c57f",,Owner changed
ITEM-000006,Update,estimatedclosedate,9/10/25 0:00,1/8/26 0:00,ACTOR-0009,6/10/25 11:20,2025-06-10T11:20:00Z,ITEM-000006,L1_STAGE,L1,1/8/26 0:00,,estimatedclosedate → 1/8/26 0:00
ITEM-000006,Update,the000g_revenuetype,,604720000,ACTOR-0003,15/08/2025 08:12,2025-08-15T08:12:00Z,ITEM-000006,L2_MILESTONE,L2,604720000,,the000g_revenuetype → 604720000
ITEM-000006,Update,the000g_isrenewal,,TRUE,ACTOR-0003,15/08/2025 08:12,2025-08-15T08:12:00Z,ITEM-000006,L3_ADMIN,L3,TRUE,,the000g_isrenewal changed
ITEM-000006,Update,the000g__revenuetype,,604720001,ACTOR-0009,5/1/26 10:04,2026-05-01T10:04:00Z,ITEM-000006,L2_MILESTONE,L2,604720001,,the000g__revenuetype → 604720001
