case_id,event_count,unique_fields,unique_actors,first_timestamp,last_timestamp,duration_days,has_create_event,create_timestamp,has_stepname,has_statuscode,has_statecode,has_estimatedclosedate,has_actualclosedate,stepname_count,owner_changes,revenue_type_changes,forecast_changes
ITEM-000117,141,58,2,2025-10-17T09:12:00,2025-10-17T10:34:00,0.06,True,2025-10-17T09:12:00,True,True,True,True,True,1,1,1,18
ITEM-000333,73,58,2,2025-10-20T12:56:00,2025-10-28T13:58:00,8.04,True,2025-10-20T12:56:00,True,True,True,True,True,1,1,2,4
ITEM-000258,73,57,3,2025-10-06T09:04:00,2025-10-08T13:17:00,2.18,True,2025-10-06T09:04:00,True,True,True,True,True,4,1,1,4
ITEM-000099,71,58,2,2025-08-18T14:43:00,2025-11-13T14:49:00,87.0,True,2025-08-18T14:43:00,True,True,True,True,True,4,1,2,2
ITEM-000349,70,58,3,2025-10-22T16:53:00,2026-01-28T09:06:00,97.68,True,2025-10-22T16:53:00,True,True,True,True,False,6,1,1,3
ITEM-000612,69,58,2,2025-09-08T09:00:00,2025-10-29T16:26:00,51.31,True,2025-09-08T09:00:00,True,True,True,True,True,4,1,2,2
ITEM-000178,69,57,3,2025-10-23T09:47:00,2026-01-22T04:39:00,90.79,True,2025-10-23T09:47:00,True,True,True,True,False,2,1,2,1
ITEM-000121,69,57,3,2025-10-10T11:03:00,2026-01-12T10:28:00,93.98,True,2025-10-10T11:03:00,True,True,True,True,True,7,1,1,3
ITEM-000301,68,60,2,2025-11-10T09:30:00,2025-12-01T10:39:00,21.05,True,2025-11-10T09:30:00,True,True,True,True,True,4,1,1,2
ITEM-000089,68,57,2,2025-09-02T13:17:00,2026-01-22T05:18:00,141.67,True,2025-09-02T13:17:00,True,True,True,True,False,4,1,2,2
ITEM-000400,67,57,4,2025-11-12T11:08:00,2026-01-28T11:33:00,77.02,True,2025-11-12T11:08:00,True,True,True,True,False,3,1,1,2
ITEM-000332,67,58,2,2025-11-10T15:14:00,2025-12-02T10:52:00,21.82,True,2025-11-10T15:14:00,True,True,True,True,True,4,1,1,2
ITEM-000124,67,59,2,2025-08-13T10:11:00,2026-01-13T08:17:00,152.92,True,2025-08-13T10:11:00,True,True,True,True,True,2,1,1,3
ITEM-000664,66,57,3,2025-08-22T09:06:00,2026-01-14T16:55:00,145.33,True,2025-08-22T09:06:00,True,True,True,True,False,3,1,2,2
ITEM-000104,66,58,2,2025-11-12T11:06:00,2025-12-23T09:32:00,40.93,True,2025-11-12T11:06:00,True,True,True,True,True,4,1,1,2
ITEM-000391,66,58,2,2026-01-12T15:36:00,2026-01-29T14:21:00,16.95,True,2026-01-12T15:36:00,True,True,True,True,True,4,1,1,2
ITEM-000560,65,58,2,2025-10-27T10:44:00,2025-10-27T14:36:00,0.16,True,2025-10-27T10:44:00,True,True,True,True,True,4,1,1,2
ITEM-000204,64,55,2,2025-08-20T10:56:00,2025-08-26T08:42:00,5.91,True,2025-08-20T10:56:00,True,True,True,True,True,1,1,1,2
ITEM-000525,64,58,2,2025-09-25T10:11:00,2025-10-22T09:06:00,26.95,True,2025-09-25T10:11:00,True,True,True,True,True,4,1,1,2
ITEM-000510,64,58,2,2025-12-15T15:07:00,2026-01-08T15:32:00,24.02,True,2025-12-15T15:07:00,True,True,True,True,True,4,1,1,2
